Year,Q1,Q2,Q3,Q4,citymarketid_1,citymarketid_2,city1,city2,fare1,fare2,fare3,fare4
2003,1,2,3,4,30721,33105,"Boston, MA (Metropolitan Area)","Cincinnati, OH",303.02,274.04,252.78,254.42
2005,1,2,3,4,31453,33342,"Houston, TX","Milwaukee, WI",196.29,202.32,154.51,168.61
1998,1,2,3,4,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",249.56,234.06,265.87,254.36
2002,1,2,3,4,30977,31267,"Chicago, IL","Dayton, OH",140.64,145.43,96.95,101.29
2008,1,2,3,4,31454,34614,"Orlando, FL","Salt Lake City, UT",244.79,240.27,250.06,248.79
2014,1,2,3,4,30721,34492,"Boston, MA (Metropolitan Area)","Raleigh/Durham, NC",155.73,175.58,169.83,171.9
2001,1,2,3,4,30615,33570,"El Paso, TX","San Diego, CA",141.57,135.69,125.75,125.09
2003,1,2,3,4,34100,33214,"Philadelphia, PA","San Antonio, TX",252.86,254.23,242.66,241.56
2008,1,2,3,4,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",129.66,131.29,145.82,146.26
2013,1,2,3,4,30423,34100,"Austin, TX","Philadelphia, PA",216.04,234.07,221.39,226.48
2008,1,2,3,4,33105,34100,"Cincinnati, OH","Philadelphia, PA",296.35,339.95,344.05,310.1
2007,1,2,3,4,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",176.86,190.49,177.29,178.68
2000,1,2,3,4,33244,32467,"Memphis, TN","Miami, FL (Metropolitan Area)",182.56,167.95,151.07,170.38
1999,1,2,3,4,31454,30466,"Orlando, FL","Phoenix, AZ",191.38,177.52,178.3,166.67
2007,1,2,3,4,30721,30198,"Boston, MA (Metropolitan Area)","Pittsburgh, PA",126.07,145.01,134.95,142.37
2011,1,2,3,4,31603,32575,"Eugene, OR","Los Angeles, CA (Metropolitan Area)",147.16,148.99,155.42,210.31
2001,1,2,3,4,33495,32457,"New Orleans, LA","San Francisco, CA (Metropolitan Area)",222.96,212.03,172.87,176.04
2007,1,2,3,4,30721,33198,"Boston, MA (Metropolitan Area)","Kansas City, MO",182.62,186.04,195.05,199.6
